country code;postal code;place name;admin name1;admin code1;admin name2;admin code2;admin name3;admin code3;latitude;longitude;accuracy;coordinates
US;60612;Chicago;Illinois;IL;Cook;031;;;41.8805;-87.6873;4;41.8805, -87.6873
US;60608;Chicago;Illinois;IL;Cook;031;;;41.8515;-87.6694;4;41.8515, -87.6694
US;60675;Chicago;Illinois;IL;Cook;031;;;41.8119;-87.6873;4;41.8119, -87.6873
US;60185;West Chicago;Illinois;IL;DuPage;043;;;41.8886;-88.2022;4;41.8886, -88.2022
US;60186;West Chicago;Illinois;IL;DuPage;043;;;41.8848;-88.204;4;41.8848, -88.204
US;60656;Chicago;Illinois;IL;Cook;031;;;41.9735;-87.8658;4;41.9735, -87.8658
US;60696;Chicago;Illinois;IL;Cook;031;;;41.8684;-87.6649;4;41.8684, -87.6649
US;60086;North Chicago;Illinois;IL;Lake;097;;;42.4333;-87.7766;4;42.4333, -87.7766
US;60411;Chicago Heights;Illinois;IL;Cook;031;;;41.5087;-87.5904;4;41.5087, -87.5904
US;60614;Chicago;Illinois;IL;Cook;031;;;41.9229;-87.6483;4;41.9229, -87.6483
US;60649;Chicago;Illinois;IL;Cook;031;;;41.762;-87.5703;4;41.762, -87.5703
US;60690;Chicago;Illinois;IL;Cook;031;;;41.8119;-87.6873;4;41.8119, -87.6873
US;60412;Chicago Heights;Illinois;IL;Cook;031;;;41.5061;-87.6356;4;41.5061, -87.6356
US;60623;Chicago;Illinois;IL;Cook;031;;;41.849;-87.7157;4;41.849, -87.7157
US;60639;Chicago;Illinois;IL;Cook;031;;;41.9202;-87.7535;4;41.9202, -87.7535
US;60646;Chicago;Illinois;IL;Cook;031;;;41.993;-87.7596;4;41.993, -87.7596
US;60670;Chicago;Illinois;IL;Cook;031;;;41.8119;-87.6873;4;41.8119, -87.6873
US;60677;Chicago;Illinois;IL;Cook;031;;;41.8119;-87.6873;4;41.8119, -87.6873
US;60606;Chicago;Illinois;IL;Cook;031;;;41.8868;-87.6386;4;41.8868, -87.6386
US;60620;Chicago;Illinois;IL;Cook;031;;;41.7411;-87.6543;4;41.7411, -87.6543
US;60652;Chicago;Illinois;IL;Cook;031;;;41.7454;-87.7135;4;41.7454, -87.7135
US;60660;Chicago;Illinois;IL;Cook;031;;;41.9909;-87.6629;4;41.9909, -87.6629
US;60611;Chicago;Illinois;IL;Cook;031;;;41.8971;-87.6223;4;41.8971, -87.6223
US;60616;Chicago;Illinois;IL;Cook;031;;;41.8426;-87.6306;4;41.8426, -87.6306
US;60638;Chicago;Illinois;IL;Cook;031;;;41.7814;-87.7705;4;41.7814, -87.7705
US;60694;Chicago;Illinois;IL;Cook;031;;;41.8119;-87.6873;4;41.8119, -87.6873
US;60605;Chicago;Illinois;IL;Cook;031;;;41.8713;-87.6277;4;41.8713, -87.6277
US;60641;Chicago;Illinois;IL;Cook;031;;;41.9453;-87.7474;4;41.9453, -87.7474
US;60064;North Chicago;Illinois;IL;Lake;097;;;42.3247;-87.8564;4;42.3247, -87.8564
US;60603;Chicago;Illinois;IL;Cook;031;;;41.8798;-87.6285;4;41.8798, -87.6285
US;60629;Chicago;Illinois;IL;Cook;031;;;41.7781;-87.7069;4;41.7781, -87.7069
